iter	Recall	Logloss
252	0.6533807829	0.1270788413
253	0.6519572954	0.1266460821
254	0.6548042705	0.1261200054
255	0.6583629893	0.1256179506
256	0.6576512456	0.1251746046
257	0.6597864769	0.124657736
258	0.6597864769	0.1241575021
259	0.6583629893	0.1237058063
260	0.6597864769	0.1232061055
261	0.6633451957	0.122750677
262	0.6669039146	0.1222650617
263	0.6676156584	0.1217700431
264	0.6676156584	0.1213258257
265	0.6683274021	0.1209338401
266	0.6683274021	0.1204612958
267	0.6683274021	0.1199797904
268	0.6697508897	0.1195415296
269	0.6704626335	0.1191153384
270	0.6704626335	0.1187284511
271	0.6711743772	0.1182443966
272	0.6711743772	0.1178277907
273	0.6725978648	0.1173901543
274	0.6747330961	0.1169461189
275	0.6761565836	0.1165483327
276	0.6768683274	0.11609042
277	0.6768683274	0.1157232757
278	0.6797153025	0.1152439423
279	0.6790035587	0.1148365706
280	0.6797153025	0.1144855927
281	0.6825622776	0.11405178
282	0.6818505338	0.1135719914
283	0.687544484	0.1130815379
284	0.6854092527	0.1126720983
285	0.687544484	0.1122703583
286	0.687544484	0.1118751081
287	0.6861209964	0.1114481756
288	0.6861209964	0.1111144955
289	0.6868327402	0.1107037424
290	0.6882562278	0.1103092596
291	0.6896797153	0.1098512689
292	0.6903914591	0.1094563439
293	0.6889679715	0.1090721229
294	0.6911032028	0.1086757152
295	0.6911032028	0.1082868575
296	0.6925266904	0.1078960554
297	0.6939501779	0.107578041
298	0.696797153	0.1071662019
299	0.696797153	0.1067950062
300	0.6982206406	0.1063887011
301	0.6996441281	0.1060213747
302	0.6996441281	0.1057011232
303	0.7003558719	0.1053056975
304	0.7017793594	0.104931361
305	0.7046263345	0.1045377561
306	0.7017793594	0.1042083485
307	0.703202847	0.1037961061
308	0.7053380783	0.1034145903
309	0.7053380783	0.1030530841
310	0.7060498221	0.1026552393
311	0.7074733096	0.1023142239
312	0.7067615658	0.1019564178
313	0.7067615658	0.1016481448
314	0.7088967972	0.1013139445
315	0.7110320285	0.1009647614
316	0.712455516	0.1006356204
317	0.7145907473	0.1003143415
318	0.7153024911	0.09999261393
319	0.7153024911	0.09966209432
320	0.7167259786	0.09929413715
321	0.7167259786	0.09896104236
322	0.7167259786	0.09864170134
323	0.7181494662	0.09833230985
324	0.7202846975	0.09801016606
325	0.7224199288	0.09765559848
326	0.7195729537	0.09733388388
327	0.7209964413	0.0969860924
328	0.7224199288	0.09668054416
329	0.7238434164	0.09633246005
330	0.7266903915	0.09602872614
331	0.7266903915	0.09572314539
332	0.7252669039	0.0954141961
333	0.7252669039	0.09512081491
334	0.7274021352	0.0948102659
335	0.728113879	0.09452909077
336	0.7288256228	0.09425047131
337	0.7274021352	0.09397169577
338	0.7288256228	0.09371014659
339	0.7295373665	0.09344117102
340	0.7316725979	0.09313233879
341	0.7316725979	0.09286629606
342	0.7302491103	0.09260998176
343	0.7323843416	0.09234369191
344	0.7338078292	0.09207801985
345	0.7366548043	0.09182209573
346	0.7352313167	0.09154298854
347	0.7352313167	0.09127989165
348	0.7352313167	0.09102323269
349	0.7380782918	0.09073850695
350	0.7380782918	0.09047673016
351	0.7395017794	0.09015856618
352	0.7409252669	0.08992650143
353	0.7409252669	0.08967393934
354	0.7402135231	0.0894361845
355	0.7416370107	0.08916619446
356	0.7430604982	0.08887651346
357	0.743772242	0.08861966592
358	0.7473309609	0.08837839948
359	0.7473309609	0.08808157822
360	0.7487544484	0.08780453897
361	0.7501779359	0.08753474403
362	0.7516014235	0.08727486611
363	0.7516014235	0.08700115638
364	0.7516014235	0.08673179064
365	0.7523131673	0.08647512518
366	0.753024911	0.08619685687
367	0.7516014235	0.08592624906
368	0.7544483986	0.08565776772
369	0.7544483986	0.08538689979
370	0.7558718861	0.08513437671
371	0.7565836299	0.08487596846
372	0.7572953737	0.08460883323
373	0.7565836299	0.08436015341
374	0.7580071174	0.08409535925
375	0.759430605	0.08384044959
376	0.7608540925	0.08360584218
377	0.7615658363	0.08334398735
378	0.7587188612	0.08310578381
379	0.7615658363	0.08285086114
380	0.7608540925	0.08260403467
381	0.7608540925	0.08235071823
382	0.7615658363	0.08209530134
383	0.7601423488	0.08187278945
384	0.7615658363	0.08161082407
385	0.7629893238	0.0813993412
386	0.7644128114	0.0811450038
387	0.7644128114	0.08090640358
388	0.7665480427	0.0806486066
389	0.7672597865	0.08044036871
390	0.7672597865	0.08019328212
391	0.768683274	0.07998098638
392	0.7701067616	0.07976539363
393	0.7701067616	0.07954486514
394	0.768683274	0.0793073379
395	0.7693950178	0.07908055356
396	0.7701067616	0.07883121694
397	0.7708185053	0.07859013908
398	0.7715302491	0.07836141686
399	0.7715302491	0.07811570239
400	0.7722419929	0.07790693776
401	0.7736654804	0.07764036178
402	0.7736654804	0.07743836023
403	0.7736654804	0.07721112068
404	0.7743772242	0.07697927703
405	0.7779359431	0.07675159528
406	0.7779359431	0.07652204068
407	0.7786476868	0.07629380617
408	0.7793594306	0.07604519788
409	0.7793594306	0.07585129903
410	0.7807829181	0.07562855302
411	0.7822064057	0.07535897268
412	0.7829181495	0.0751410974
413	0.784341637	0.0749517311
414	0.7829181495	0.07472442652
415	0.7850533808	0.07445842931
416	0.7857651246	0.07423686035
417	0.7857651246	0.07398574191
418	0.7864768683	0.07374072326
419	0.7914590747	0.07347786698
420	0.793594306	0.07323226957
421	0.793594306	0.07303679699
422	0.793594306	0.07277866837
423	0.793594306	0.07258786492
424	0.7964412811	0.07235793964
425	0.7978647687	0.07217024461
426	0.7978647687	0.07193312056
427	0.8014234875	0.07168132582
428	0.8007117438	0.07149339668
429	0.8035587189	0.07126063612
430	0.8035587189	0.07105714539
431	0.8035587189	0.07082306472
432	0.8049822064	0.07057619923
433	0.8049822064	0.0703437443
434	0.8056939502	0.07010187308
435	0.809252669	0.06991773517
436	0.809252669	0.06969692055
437	0.809252669	0.06945067284
438	0.8149466192	0.06926882397
439	0.8149466192	0.06904808738
440	0.8163701068	0.0688716945
441	0.8170818505	0.06863877787
442	0.8185053381	0.06842240477
443	0.8185053381	0.06818225033
444	0.8192170819	0.06799993976
445	0.8199288256	0.06778630441
446	0.8220640569	0.06758207884
447	0.8234875445	0.0673985262
448	0.8220640569	0.06718423405
449	0.8220640569	0.06698458657
450	0.8220640569	0.06680278973
451	0.8241992883	0.0665953387
452	0.8241992883	0.06638738043
453	0.824911032	0.06621786769
454	0.824911032	0.06599067366
455	0.824911032	0.0658244189
456	0.824911032	0.06560962602
457	0.8263345196	0.06541697573
458	0.8277580071	0.06523686966
459	0.8277580071	0.06503903651
460	0.8284697509	0.06488139817
461	0.8298932384	0.06465984221
462	0.8298932384	0.06445376981
463	0.8298932384	0.06427699976
464	0.8298932384	0.06409106053
465	0.8298932384	0.06392190545
466	0.8306049822	0.06372204337
467	0.8327402135	0.06354682102
468	0.8341637011	0.06334162652
469	0.8348754448	0.0631857765
470	0.8334519573	0.06296903924
471	0.8348754448	0.06278249523
472	0.8362989324	0.06262777022
473	0.8448398577	0.06243346818
474	0.8419928826	0.06227441871
475	0.846975089	0.06207809424
476	0.8462633452	0.06191459674
477	0.8476868327	0.06172691471
478	0.8462633452	0.0615653681
479	0.8476868327	0.06137276983
480	0.8476868327	0.06118971142
481	0.8483985765	0.06104875969
482	0.8491103203	0.06089220735
483	0.8498220641	0.06070540322
484	0.8505338078	0.06051374139
485	0.8512455516	0.06036362048
486	0.8526690391	0.06017178956
487	0.8540925267	0.05998542764
488	0.8540925267	0.05982289908
489	0.8540925267	0.0596357503
490	0.8540925267	0.05947867122
491	0.8540925267	0.05930128989
492	0.8540925267	0.05912955313
493	0.8548042705	0.05898893305
494	0.856227758	0.05881558356
495	0.8576512456	0.05864754048
496	0.8590747331	0.05846227756
497	0.8604982206	0.05827416634
498	0.8604982206	0.05810650043
499	0.8604982206	0.0579348222
500	0.8604982206	0.05775122404
501	0.8604982206	0.05759089998
502	0.8604982206	0.0574217514
503	0.862633452	0.05725984713
504	0.862633452	0.05707239921
505	0.8633451957	0.056881017
506	0.8640569395	0.05672349572
507	0.8669039146	0.05655739703
508	0.8669039146	0.05637560018
509	0.8669039146	0.05622060856
510	0.8676156584	0.05603989121
511	0.8676156584	0.0558886778
512	0.8676156584	0.05573090941
513	0.8676156584	0.05554889797
514	0.8676156584	0.05539825032
515	0.8690391459	0.05523698333
516	0.8690391459	0.05506309409
517	0.8690391459	0.05491372753
518	0.8690391459	0.05472520662
519	0.8690391459	0.05458041814
520	0.8690391459	0.05440356355
521	0.8697508897	0.05425867103
522	0.8704626335	0.05410637162
523	0.8725978648	0.05392243206
524	0.8725978648	0.05378103812
525	0.8733096085	0.05362875823
526	0.8761565836	0.05345031692
527	0.8768683274	0.05331422615
528	0.8775800712	0.05316453769
529	0.8782918149	0.05298815782
530	0.8782918149	0.05286130126
531	0.8782918149	0.05269534564
532	0.8790035587	0.05256973765
533	0.8804270463	0.05242389894
