iter	Passed	Remaining
901	9344	6195
902	9355	6184
903	9365	6174
904	9375	6164
905	9386	6154
906	9397	6143
907	9407	6133
908	9417	6122
909	9428	6113
910	9438	6102
911	9449	6092
912	9460	6082
913	9470	6071
914	9481	6061
915	9491	6051
916	9501	6040
917	9511	6030
918	9521	6019
919	9532	6009
920	9542	5999
921	9554	5989
922	9564	5978
923	9574	5968
924	9585	5958
925	9595	5947
926	9605	5937
927	9615	5926
928	9625	5916
929	9636	5906
930	9645	5895
931	9656	5884
932	9666	5874
933	9675	5863
934	9685	5852
935	9695	5842
936	9706	5831
937	9717	5821
938	9727	5811
939	9737	5801
940	9747	5790
941	9757	5780
942	9768	5769
943	9778	5759
944	9788	5748
945	9798	5738
946	9808	5727
947	9818	5717
948	9828	5706
949	9838	5695
950	9847	5685
951	9857	5674
952	9867	5663
953	9877	5653
954	9887	5642
955	9897	5631
956	9906	5621
957	9917	5610
958	9927	5600
959	9937	5589
960	9946	5578
961	9956	5568
962	9966	5557
963	9976	5547
964	9986	5536
965	9996	5525
966	10006	5515
967	10016	5504
968	10025	5494
969	10035	5483
970	10045	5472
971	10055	5462
972	10065	5451
973	10075	5440
974	10084	5430
975	10094	5419
976	10105	5409
977	10114	5398
978	10124	5388
979	10134	5377
980	10144	5366
981	10154	5356
982	10164	5345
983	10174	5335
984	10183	5324
985	10193	5313
986	10203	5303
987	10214	5293
988	10224	5282
989	10234	5272
990	10244	5262
991	10255	5251
992	10266	5241
993	10276	5231
994	10287	5221
995	10298	5211
996	10308	5200
997	10318	5190
998	10330	5180
999	10342	5171
1000	10352	5160
1001	10362	5150
1002	10372	5139
1003	10382	5129
1004	10393	5119
1005	10404	5108
1006	10414	5098
1007	10425	5088
1008	10435	5078
1009	10445	5067
1010	10456	5057
1011	10466	5047
1012	10477	5037
1013	10488	5027
1014	10498	5016
1015	10509	5006
1016	10519	4996
1017	10529	4985
1018	10540	4975
1019	10550	4965
1020	10560	4954
1021	10571	4944
1022	10582	4934
1023	10591	4923
1024	10602	4913
1025	10612	4902
1026	10622	4892
1027	10632	4881
1028	10642	4871
1029	10652	4860
1030	10662	4850
1031	10672	4839
1032	10682	4829
1033	10692	4818
1034	10702	4808
1035	10711	4797
1036	10721	4787
1037	10731	4776
1038	10741	4765
1039	10751	4755
1040	10761	4744
1041	10771	4734
1042	10781	4723
1043	10792	4713
1044	10802	4703
1045	10811	4692
1046	10822	4682
1047	10832	4671
1048	10841	4661
1049	10851	4650
1050	10861	4640
1051	10871	4629
1052	10881	4619
1053	10891	4608
1054	10901	4598
1055	10911	4587
1056	10920	4577
1057	10930	4566
1058	10940	4555
1059	10950	4545
1060	10960	4534
1061	10970	4524
1062	10979	4513
1063	10989	4503
1064	10999	4492
1065	11009	4482
1066	11019	4471
1067	11029	4461
1068	11039	4450
1069	11048	4440
1070	11058	4429
1071	11068	4419
1072	11078	4408
1073	11088	4398
1074	11098	4387
1075	11108	4377
1076	11118	4366
1077	11127	4356
1078	11138	4345
1079	11147	4335
1080	11157	4324
1081	11167	4314
1082	11177	4303
1083	11187	4293
1084	11197	4282
1085	11207	4272
1086	11217	4261
1087	11227	4251
1088	11236	4240
1089	11246	4230
1090	11256	4219
1091	11266	4209
1092	11276	4199
1093	11286	4188
1094	11296	4178
1095	11307	4167
1096	11317	4157
1097	11327	4147
1098	11337	4136
1099	11348	4126
1100	11358	4116
1101	11369	4106
1102	11380	4096
1103	11391	4086
1104	11402	4075
1105	11412	4065
1106	11422	4055
1107	11434	4045
1108	11444	4034
1109	11455	4024
1110	11465	4014
1111	11476	4004
1112	11486	3994
1113	11496	3983
1114	11507	3973
1115	11518	3963
1116	11528	3953
1117	11539	3942
1118	11549	3932
1119	11561	3922
1120	11571	3912
1121	11581	3901
1122	11592	3891
1123	11602	3881
1124	11613	3871
1125	11624	3860
1126	11634	3850
1127	11644	3840
1128	11654	3829
1129	11665	3819
1130	11676	3809
1131	11687	3799
1132	11697	3788
1133	11707	3778
1134	11717	3768
1135	11727	3757
1136	11737	3747
1137	11747	3737
1138	11758	3726
1139	11769	3716
1140	11779	3706
1141	11789	3695
1142	11800	3685
1143	11811	3675
1144	11821	3665
1145	11831	3654
1146	11841	3644
1147	11851	3633
1148	11861	3623
1149	11871	3613
1150	11881	3602
1151	11891	3592
1152	11901	3581
1153	11911	3571
1154	11921	3561
1155	11931	3550
1156	11941	3540
1157	11951	3529
1158	11961	3519
1159	11971	3508
1160	11981	3498
1161	11991	3488
1162	12001	3477
1163	12012	3467
1164	12022	3457
1165	12032	3446
1166	12042	3436
1167	12052	3425
1168	12062	3415
1169	12072	3404
1170	12082	3394
1171	12092	3384
1172	12102	3373
1173	12112	3363
1174	12122	3353
1175	12132	3342
1176	12143	3332
1177	12153	3322
1178	12163	3311
1179	12173	3301
1180	12183	3290
1181	12193	3280
1182	12203	3270
1183	12213	3259
1184	12223	3249
1185	12233	3238
1186	12243	3228
1187	12253	3218
1188	12263	3207
1189	12274	3197
1190	12284	3187
1191	12294	3176
1192	12304	3166
1193	12314	3156
1194	12324	3145
1195	12335	3135
1196	12346	3125
1197	12357	3115
1198	12369	3105
1199	12380	3095
1200	12391	3084
1201	12402	3074
1202	12413	3064
1203	12425	3054
1204	12435	3044
1205	12445	3034
1206	12456	3023
1207	12467	3013
1208	12477	3003
1209	12488	2993
1210	12499	2983
1211	12510	2972
1212	12520	2962
1213	12530	2952
1214	12540	2941
1215	12551	2931
1216	12561	2920
1217	12571	2910
1218	12581	2900
1219	12591	2889
1220	12601	2879
1221	12612	2869
1222	12622	2858
1223	12632	2848
1224	12642	2838
1225	12652	2827
1226	12663	2817
1227	12673	2807
1228	12684	2796
1229	12695	2786
1230	12705	2776
1231	12716	2766
1232	12726	2755
1233	12736	2745
1234	12747	2735
1235	12758	2725
1236	12768	2714
1237	12779	2704
1238	12790	2694
1239	12801	2684
1240	12812	2673
1241	12823	2663
1242	12833	2653
1243	12843	2643
1244	12854	2632
1245	12865	2622
1246	12876	2612
1247	12887	2602
1248	12898	2592
1249	12908	2581
1250	12919	2571
1251	12929	2561
1252	12940	2550
1253	12950	2540
1254	12961	2530
1255	12971	2519
1256	12982	2509
1257	12992	2499
1258	13003	2489
1259	13013	2478
1260	13024	2468
1261	13034	2458
1262	13045	2447
1263	13055	2437
1264	13066	2427
1265	13077	2417
1266	13088	2407
1267	13098	2396
1268	13110	2386
1269	13122	2376
1270	13134	2366
1271	13144	2356
1272	13154	2345
1273	13164	2335
1274	13175	2325
1275	13185	2314
1276	13195	2304
1277	13205	2293
1278	13215	2283
1279	13225	2273
1280	13236	2262
1281	13246	2252
1282	13256	2242
1283	13266	2231
1284	13276	2221
1285	13286	2210
